"dataset","run","target","link","test_count","summary_path","element_extractor","llm_element_metrics","node_f1","relation_f1","llm_node_f1","llm_relation_f1","last_write_time"
"bp","2026-06-12__20-03-02__test-bp","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__20-03-02__test-bp","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\bp\2026-06-12__20-03-02__test-bp","30","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__20-03-02__test-bp\test_summary.json",,"False","0.265599077221892","0.0935874375569098","0","0","2026-06-12 20:25:46"
"bp","2026-06-12__21-23-27__test-bp","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-23-27__test-bp","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\bp\2026-06-12__21-23-27__test-bp","30","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-23-27__test-bp\test_summary.json",,"False","0.168493222795013","0.0312770533136666","0","0","2026-06-12 21:26:35"
"fsd","2026-06-11__22-56-08__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-11__22-56-08__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-11__22-56-08__test-fsd","2","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-11__22-56-08__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-11 22:56:22"
"fsd","2026-06-11__23-00-18__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-11__23-00-18__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-11__23-00-18__test-fsd","2","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-11__23-00-18__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-11 23:00:30"
"fsd","2026-06-11__23-02-29__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-11__23-02-29__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-11__23-02-29__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-11__23-02-29__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-11 23:02:39"
"fsd","2026-06-12__12-53-27__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__12-53-27__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__12-53-27__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__12-53-27__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-12 12:53:33"
"fsd","2026-06-12__12-58-14__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__12-58-14__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__12-58-14__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__12-58-14__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-12 12:58:18"
"fsd","2026-06-12__13-09-11__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-09-11__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__13-09-11__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-09-11__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-12 13:09:16"
"fsd","2026-06-12__13-11-39__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-11-39__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__13-11-39__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-11-39__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-12 13:11:44"
"fsd","2026-06-12__13-13-24__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-13-24__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__13-13-24__test-fsd","1","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-13-24__test-fsd\test_summary.json",,,"1","1","0","0","2026-06-12 13:13:29"
