"run","reason","path"
"2026-06-12__13-50-02__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__13-50-02__train-fsd"
"2026-06-12__14-21-24__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__14-21-24__train-fsd"
"2026-06-12__14-22-43__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__14-22-43__train-fsd"
"2026-06-12__19-09-46__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__19-09-46__train-fsd"
"2026-06-12__19-58-37__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__19-58-37__train-fsd"
"2026-06-12__21-18-19__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-18-19__train-fsd"
"2026-06-12__23-10-35__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__23-10-35__train-fsd"
"2026-06-12__23-12-28__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__23-12-28__train-fsd"
"2026-06-13__00-24-02__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-24-02__train-fsd"
"2026-06-13__00-24-41__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-24-41__train-fsd"
"2026-06-13__00-25-00__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-25-00__train-fsd"
"2026-06-13__00-28-59__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-28-59__train-fsd"
"2026-06-13__00-28-59__train-fsd__2","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-28-59__train-fsd__2"
"2026-06-13__00-38-35__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-38-35__train-fsd"
"2026-06-13__00-38-35__train-fsd__2","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-38-35__train-fsd__2"
"2026-06-13__00-43-56__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-43-56__train-fsd"
"2026-06-13__01-30-15__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__01-30-15__train-fsd"
"2026-06-13__02-04-07__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__02-04-07__train-fsd"
"2026-06-13__16-46-12__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__16-46-12__train-fsd"
"2026-06-13__16-57-42__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__16-57-42__train-fsd"
"2026-06-13__17-44-06__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__17-44-06__train-fsd"
"2026-06-13__17-49-56__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__17-49-56__train-fsd"
"2026-06-13__18-39-54__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__18-39-54__train-fsd"
"2026-06-14__15-14-20__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__15-14-20__train-fsd"
"2026-06-14__16-35-07__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-14__16-35-07__train-fsd"
"2026-06-16__02-23-40__parser-diagnostics__gold","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__02-23-40__parser-diagnostics__gold"
"2026-06-16__02-24-02__parser-diagnostics__gold","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__02-24-02__parser-diagnostics__gold"
"2026-06-16__02-24-49__parser-diagnostics__gold","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__02-24-49__parser-diagnostics__gold"
"2026-06-16__02-40-33__compare-lato__test-all","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__02-40-33__compare-lato__test-all"
"2026-06-16__21-53-52__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__21-53-52__train-fsd"
"2026-06-16__21-55-34__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-16__21-55-34__train-fsd"
"2026-06-19__15-57-26__train-fsd","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-19__15-57-26__train-fsd"
"compare_lato_workflow","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\compare_lato_workflow"
"original_prompt_error_report_20260612_225931","not a single-dataset held-out test run","D:\now_to_use\work4icse\rq1\ape\prompt_runs\original_prompt_error_report_20260612_225931"
